id_report,nome,cod_azienda,valore,cod_anno
1,N_uomini_dipendenti,1,1703.0,1
2,N_uomini_dipendenti,2,467.0,1
3,N_uomini_dipendenti,4,4430.0,1
4,N_uomini_dipendenti,5,250.0,1
5,N_uomini_dipendenti,6,669.0,1
6,N_uomini_dipendenti,7,293.0,1
7,N_uomini_dipendenti,8,309.0,1
8,N_uomini_dipendenti,9,1002.0,1
9,N_uomini_dipendenti,10,335.0,1
10,N_uomini_dipendenti,11,169.0,1
11,N_uomini_dipendenti,12,1707.0,1
12,N_uomini_dipendenti,13,265.0,1
13,N_uomini_dipendenti,14,787.0,1
14,N_uomini_dipendenti,15,3141.0,1
15,N_uomini_dipendenti,16,1994.0,1
16,N_uomini_dipendenti,17,767.0,1
17,N_uomini_dipendenti,18,376.0,1
18,N_uomini_dipendenti,19,34801.0,1
19,N_uomini_dipendenti,20,3752.0,1
20,N_uomini_dipendenti,21,5127.0,1
21,N_uomini_dipendenti,22,20092.0,1
22,N_uomini_dipendenti,23,24828.0,1
23,N_uomini_dipendenti,24,804.0,1
24,N_uomini_dipendenti,25,9363.0,1
25,N_uomini_dipendenti,26,552.0,1
26,N_uomini_dipendenti,27,523.0,1
27,N_uomini_dipendenti,28,1847.0,1
28,N_uomini_dipendenti,29,359.0,1
29,N_uomini_dipendenti,30,341.0,1
30,N_uomini_dipendenti,31,265.0,1
31,N_uomini_dipendenti,32,221.0,1
32,N_uomini_dipendenti,33,483.0,1
33,N_uomini_dipendenti,34,807.0,1
34,N_uomini_dipendenti,35,1459.0,1
35,N_uomini_dipendenti,36,10739.0,1
36,N_uomini_dipendenti,37,6518.0,1
37,N_uomini_dipendenti,38,720.0,1
38,N_uomini_dipendenti,39,2541.0,1
39,N_uomini_dipendenti,40,663.0,1
40,N_uomini_dipendenti,41,520.0,1
41,N_uomini_dipendenti,42,2391.0,1
42,N_uomini_dipendenti,43,432.0,1
43,N_uomini_dipendenti,44,12100.0,1
44,N_uomini_dipendenti,45,1327.0,1
45,N_uomini_dipendenti,46,301.0,1
46,N_uomini_dipendenti,47,871.0,1
47,N_uomini_dipendenti,48,195.0,1
48,N_uomini_dipendenti,49,1893.0,1
49,N_uomini_dipendenti,50,1199.0,1
50,N_uomini_dipendenti,51,3418.0,1
51,N_uomini_dipendenti,52,7721.0,1
52,N_uomini_dipendenti,53,9075.0,1
53,N_uomini_dipendenti,54,708.0,1
54,N_uomini_dipendenti,55,8414.0,1
55,N_uomini_dipendenti,56,2208.0,1
56,N_uomini_dipendenti,57,432.0,1
57,N_uomini_dipendenti,58,621.0,1
58,N_uomini_dipendenti,59,1070.0,1
59,N_uomini_dipendenti,60,2273.0,1
60,N_uomini_dipendenti,61,6678.0,1
61,N_uomini_dipendenti,62,116.0,1
62,N_uomini_dipendenti,63,1166.0,1
63,N_uomini_dipendenti,64,793.0,1
64,N_uomini_dipendenti,65,621.0,1
65,N_uomini_dipendenti,66,538.0,1
66,N_uomini_dipendenti,67,2681.0,1
67,N_uomini_dipendenti,68,1014.0,1
68,N_uomini_dipendenti,69,8286.0,1
69,N_uomini_dipendenti,70,6277.0,1
70,N_uomini_dipendenti,71,39.0,1
71,N_uomini_dipendenti,72,4867.0,1
72,N_uomini_dipendenti,73,4011.0,1
73,N_uomini_dipendenti,74,2212.0,1
74,N_uomini_dipendenti,75,268.0,1
75,N_uomini_dipendenti,76,8381.0,1
76,N_uomini_dipendenti,77,1904.0,1
77,N_uomini_dipendenti,78,2279.0,1
78,N_uomini_dipendenti,79,100.0,1
79,N_uomini_dipendenti,80,3969.0,1
80,N_uomini_dipendenti,81,1062.0,1
81,N_uomini_dipendenti,82,1076.0,1
82,N_uomini_dipendenti,83,1052.0,1
83,N_uomini_dipendenti,84,475.0,1
84,N_uomini_dipendenti,85,4527.0,1
85,N_uomini_dipendenti,86,419.0,1
86,N_uomini_dipendenti,87,1138.0,1
87,N_uomini_dipendenti,88,1991.0,1
88,N_uomini_dipendenti,89,1244.0,1
89,N_uomini_dipendenti,90,3221.0,1
90,N_uomini_dipendenti,91,53933.0,1
91,N_uomini_dipendenti,92,23731.0,1
92,N_uomini_dipendenti,93,597.0,1
93,N_uomini_dipendenti,94,596.0,1
94,N_uomini_dipendenti,95,13695.0,1
95,N_uomini_dipendenti,96,117.0,1
96,N_uomini_dipendenti,97,5338.0,1
97,N_uomini_dipendenti,98,1132.0,1
98,N_uomini_dipendenti,99,1458.0,1
99,N_uomini_dipendenti,100,69109.0,1
100,N_uomini_dipendenti,101,281.0,1
101,N_uomini_dipendenti,102,19823.0,1
102,N_uomini_dipendenti,103,706.0,1
103,N_uomini_dipendenti,104,1972.0,1
104,N_uomini_dipendenti,105,300.0,1
